# Harmonic constituents from TMGPM (Table des marées des grands ports du monde)
NAME,Z0,ASa,AQ1,AO1,AK1,AN2,AM2,AS2,AMN4,AM4,AMS4,GSa,GQ1,GO1,GK1,GN2,GM2,GS2,GMN4,GM4,GMS4,LA,LO,UTC
"CONCARNEAU",296,50,20,61,57,307,1461,534,28,57,20,269,295,343,92,106,127,160,39,92,195,"47 52 N","3 55 W","+1.0"
"BREST",402,47,20,67,65,415,2040,746,19,54,34,243,294,342,89,119,138,178,117,164,239,"48 23 N","4 30 W","+1.0"
